Countries,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
EUROPE,321716,329557,334109,343887,347765,353602,360601,366902,373775,380136,387519
EU 28 countries + EFTA,269572,274912,275327,280826,282685,285997,289504,291856,294519,297291,302582
EU 15 countries + EFTA,232269,236732,234424,236677,237607,240024,242387,243296,244598,246641,250037
AUSTRIA,4524,4579,4628,4676,4758,4847,4930,5010,5076,5139,5202
BELGIUM,5535,5620,5718,5818,5903,6040,6138,6184,6241,6328,6426
DENMARK,2450,2545,2621,2646,2644,2664,2682,2705,2731,2769,2838
FINLAND,2501,2580,2574,2543,2542,2581,2629,2657,2673,2691,2708
FRANCE,36298,36661,37033,37212,37438,37744,38067,38138,38200,38408,38652
GERMANY,49223,49742,44021,44180,44631,45262,45984,46538,47015,47648,48427
GREECE,5516,5790,6082,6341,6462,6563,6552,6513,6467,6427,6205
ICELAND,214,227,241,244,241,243,238,242,246,251,262
IRELAND,1949,2097,2229,2276,2246,2200,2209,2192,2228,2261,2316
ITALY,39089,39877,40368,40894,41213,41650,42067,42000,41830,41946,42242
LUXEMBOURG,338,347,356,365,369,375,385,395,403,413,423
NETHERLANDS,8163,8295,8475,8643,8716,8816,8925,8959,9207,9238,9395
NORWAY,2523,2600,2693,2744,2790,2856,2930,3004,3066,3124,3183
PORTUGAL,5523,5625,5727,5757,5810,5833,5873,5807,5753,5748,5872
SPAIN,25158,26228,27174,27613,27389,27513,27596,27481,27155,27115,27463
SWEDEN,4629,4695,4775,4803,4829,4875,4963,5018,5075,5181,5279
SWITZERLAND,4242,4289,4357,4385,4408,4483,4587,4691,4766,4840,4924
UNITED KINGDOM,34394,34935,35354,35538,35217,35479,35632,35761,36468,37113,38220
EUROPE NEW MEMBERS,37303,38179,40902,44149,45078,45973,47117,48560,49921,50650,52545
BULGARIA,2909,2016,2367,2690,2842,2960,3065,3197,3321,3449,3630
CROATIA,1549,1606,1661,1722,1715,1686,1685,1599,1602,1631,1663
CYPRUS,477,492,532,569,589,587,591,592,587,586,594
CZECH REPUBLIC,4489,4691,4931,5134,5140,5197,5285,5405,5521,5646,5890
ESTONIA,585,652,608,639,631,638,663,694,725,754,783
HUNGARY,3319,3401,3474,3529,3484,3453,3438,3458,3521,3604,3711
LATVIA,866,954,1045,1073,1035,714,690,700,719,746,770
LITHUANIA,1592,1743,1750,1835,1855,1839,1863,1905,1965,1312,1354
MALTA,252,259,266,271,275,281,287,297,304,315,325
POLAND,14820,15964,17308,19006,19520,20459,21253,22173,22850,23448,24250
ROMANIA,3897,3788,4177,4714,4948,5028,5072,5249,5442,5705,6009
SLOVAKIA,1510,1551,1679,1824,1888,1971,2058,2126,2198,2282,2379
SLOVENIA,1037,1061,1104,1143,1157,1161,1166,1166,1165,1173,1188
"RUSSIA, TURKEY & OTHER EUROPE",52144,54645,58782,63061,65080,67606,71097,75046,79256,82846,84937
ALBANIA,272,302,329,351,368,386,379,363,413,453,481
BELARUS,2188,2409,2563,2706,2872,3044,3192,3198,3239,3411,3502
BOSNIA,605,629,674,733,764,805,814,682,747,882,911
GEORGIA,414,466,519,598,642,687,745,803,874,964,1044
MACEDONIA,273,261,278,294,317,346,348,335,385,412,426
MOLDAVIA,395,424,455,504,528,557,590,630,663,694,715
RUSSIA,31212,32547,35455,38264,39303,40661,42862,45422,48132,50500,51355
SERBIA,1625,1664,1632,1650,1809,1725,1846,1879,1920,1997,2042
TURKEY,8427,9080,9653,10191,10611,11266,12062,12827,13651,14373,15361
UKRAINE,6733,6862,7225,7771,7866,8128,8259,8907,9233,9160,9100
AMERICA,327787,340589,350512,358800,363039,368200,375707,384472,391967,403022,413725
NAFTA,278157,288408,294641,298541,299456,299945,302513,306495,309919,316631,324763
CANADA,18910,19580,20071,20520,20792,21231,21616,21705,22334,22850,23215
MEXICO,21550,24185,25869,28208,29692,30482,31965,33293,34870,35754,37354
UNITED STATES OF AMERICA,237697,244643,248701,249813,248972,248232,248932,251497,252715,258027,264194
CENTRAL & SOUTH AMERICA,49630,52181,55871,60259,63583,68255,73194,77977,82048,86390,88962
ARGENTINA,7005,7175,7739,8460,8955,10116,10959,11477,12457,13376,13736
BAHAMAS,115,116,119,122,122,124,125,126,129,130,130
BARBADOS,88,92,94,97,98,99,101,102,105,108,110
BELIZE,27,27,27,29,29,29,31,38,39,41,50
BERMUDA,27,27,28,28,28,27,27,26,26,26,24
BOLIVIA,372,400,436,487,514,540,581,622,670,719,770
BRAZIL,23039,24084,25643,27510,29667,32110,34710,37331,39771,41787,42743
CHILE,2410,2552,2693,2861,2966,3190,3450,3743,4012,4272,4445
COLOMBIA,2883,3077,3311,3572,3772,3949,4239,4540,4745,5077,5332
COSTA RICA,633,646,690,748,773,838,890,946,984,1026,1076
CUBA,410,414,418,422,428,435,443,447,463,473,480
DOMINICAN REPUBLIC,1008,1073,1148,1227,1274,1335,1369,1433,1483,1541,1611
ECUADOR,1240,1300,1380,1480,1560,1690,1831,1953,2066,2186,2267
EL SALVADOR,180,186,193,198,200,203,212,220,234,248,260
GUATEMALA,908,1035,1191,1302,1391,1475,1551,1617,1682,1756,1863
HAITI,73,73,72,74,70,73,75,77,80,86,80
HONDURAS,117,120,122,124,125,127,132,139,147,155,160
JAMAICA,154,161,162,169,169,171,175,178,181,184,190
NICARAGUA,249,267,288,303,353,389,417,456,457,469,480
PANAMA,328,345,368,383,410,438,458,533,555,607,677
PARAGUAY,408,426,451,479,509,540,570,603,631,640,653
PERU,1380,1427,1483,1581,1668,1780,1904,2055,2198,2330,2444
PUERTO RICO,2321,2551,2661,2661,2559,2475,2709,2939,3240,3290,3320
SURINAME,96,101,114,128,141,154,160,167,175,181,193
TRINIDAD,351,348,352,355,358,361,366,368,378,386,397
URUGUAY,531,619,645,645,668,679,732,779,834,897,960
VENEZUELA,3279,3539,4044,4815,4775,4908,4978,5060,4305,4400,4510
ASIA/OCEANIA/MIDDLE EAST,216799,227920,245238,257272,275198,298552,323843,351645,378796,409362,436222
AFGHANISTAN,660,685,735,780,863,951,1034,1493,1543,1563,1573
AUSTRALIA,13612,13979,14320,14729,15050,15401,15190,16032,16436,16853,17201
AZERBAIDJAN,597,674,755,843,907,964,1023,1118,1213,1272,1302
BAHRAIN,310,333,362,394,422,443,465,489,525,553,578
BANGLADESH,422,427,432,436,452,496,529,556,587,629,620
BRUNEI,87,90,97,106,163,111,144,234,257,288,301
CHINA,31597,36974,43584,50996,62806,78018,93563,109220,126701,145981,162845
GUAM,95,94,97,102,102,105,107,110,112,114,118
HONG-KONG,499,509,520,530,539,562,584,607,633,649,674
INDIA,10332,11520,13086,14560,16177,17950,20113,22622,24826,26510,28860
INDONESIA,9062,10784,12848,14001,14570,15829,16762,17992,19386,21233,22513
IRAN,7360,7670,8010,8400,8791,9181,10347,11513,12679,13360,14130
IRAQ,2175,2257,2364,2418,2471,2690,3065,3341,3502,3670,3900
ISRAEL,2023,2086,2185,2283,2345,2449,2562,2637,2725,2837,2959
JAPAN,75687,75859,75715,75528,75325,75361,75513,76126,76619,77188,77404
JORDAN,521,576,638,700,777,805,941,984,1026,1070,1130
KAZAKHSTAN,1753,2132,2626,3080,3162,3579,4066,4169,4229,4534,4397
KUWAIT,930,1191,1266,1325,1384,1446,1520,1606,1706,1792,1876
KYRGYZSTAN,430,486,541,635,733,853,950,1070,1160,1250,1330
LEBANON,521,511,515,532,539,546,553,578,610,650,683
MALAYSIA,7415,7921,8438,9030,9605,10253,10900,11573,11809,12589,13309
NEW CALEDONIA,82,82,93,94,99,102,106,110,111,112,113
NEW ZEALAND,2596,2667,2717,2742,2781,2777,2813,2884,3442,3580,3708
OMAN,405,510,530,611,620,680,740,810,860,920,980
PAKISTAN,1762,1843,1928,2044,2170,2264,2434,2694,2894,3021,3220
PALESTINE,236,204,138,169,216,221,264,307,340,385,405
PHILIPPINES,2902,2922,5640,2909,3019,3153,3257,3347,2590,3592,3823
QATAR,371,377,460,624,670,730,800,870,907,960,1020
SAUDI ARABIA,3580,3730,3990,4230,4510,4870,5280,5703,5950,6240,6600
SINGAPORE,616,657,707,749,778,798,810,826,829,827,813
SOUTH KOREA,15397,15895,16428,16794,17325,17942,18437,18870,19401,20118,20990
SRI LANKA,900,905,920,927,943,991,1101,1185,1245,1314,1470
SYRIA,3580,3730,3990,4230,4510,4870,5280,5703,5950,6420,6900
TAIWAN,6652,6698,6716,6675,6719,6826,7003,7146,7307,7493,7677
THAILAND,9539,8805,9194,9646,10085,10600,11532,12749,14005,14824,15491
UNITED ARAB EMIRATES,865,878,1080,1408,1429,1440,1563,1681,1827,1960,2140
VIETNAM,623,631,900,1309,1410,1536,1690,1840,1950,2060,2170
YEMEN,608,629,674,702,731,759,800,850,906,950,1000
AFRICA,25726,28576,30370,32416,33854,35346,36869,38617,40389,42366,44803
ALGERIA,2924,3108,3312,3545,3847,3981,4130,4533,4835,5133,5570
ANGOLA,332,335,490,690,700,720,740,770,803,840,880
BENIN,156,159,166,191,199,207,211,220,231,241,252
BOTSWANA,164,176,187,206,227,286,285,328,345,364,392
BURKINA FASO,122,129,149,155,161,167,200,211,232,271,297
BURUNDI,36,37,46,50,50,52,54,60,61,62,63
CAMEROON,234,240,247,260,270,281,293,310,322,334,347
CONGO KINSHASA ,1583,1603,1615,1622,1626,1631,1669,1723,1760,1830,1900
EGYPT,2920,3085,3251,3456,3743,4213,4524,4669,4854,5126,5734
ETHIOPIA,128,127,128,131,130,132,137,142,151,153,155
GHANA,159,411,570,780,710,693,730,770,820,850,890
IVORY COAST,612,642,671,713,742,785,816,840,870,900,940
KENYA,640,688,745,803,896,966,1018,1089,1175,1283,1381
LIBERIA,50,55,56,51,52,54,56,57,61,62,63
LIBYA,1479,1747,1800,1830,1850,2122,2229,2350,2476,2610,2740
MADAGASCAR,141,144,270,511,511,519,537,554,582,630,660
MALAWI,69,71,94,123,124,126,129,128,132,136,139
MALI,109,121,128,133,139,150,161,170,181,192,203
MAURITANIA,30,31,32,33,34,35,36,36,40,40,41
MAURITIUS,125,132,141,152,161,171,180,192,207,221,237
MOROCCO,1979,2122,2259,2409,2596,2760,2920,3088,3248,3397,3570
MOZAMBIQUE,171,193,213,213,276,315,324,340,364,377,400
NIGERIA,1747,2829,2860,2920,2967,3090,3210,3330,3440,3590,3750
SENEGAL,380,391,401,448,463,479,537,582,605,630,660
SOUTH AFRICA,6872,7372,7803,8017,8221,8157,8404,8700,9013,9319,9600
SUDAN,86,88,90,90,93,94,96,99,107,109,111
TANZANIA,82,90,160,312,317,321,330,340,345,370,380
TOGO,148,148,153,154,155,158,162,168,174,186,198
TUNISIA,974,1000,1050,1177,1220,1259,1269,1279,1330,1390,1450
UGANDA,228,235,303,313,356,366,380,400,430,460,490
ZAMBIA,367,377,280,218,298,310,320,330,343,360,370
ZIMBABWE,679,690,700,710,721,747,780,810,853,900,940
ALL COUNTRIES,892028,926642,960228,992375,1019856,1055700,1097019,1141636,1184928,1234887,1282270
